league,team_matches,np_ratio,raw_ratio,npxg_per_match,np_goals_per_match,pen_per_match,pen_conv
__ALL__,27973,0.9577,0.9605,1.295,1.241,0.149,0.781
austria_bl,358,0.9093,0.9247,1.275,1.159,0.176,0.841
bundesliga,2421,1.0197,1.0156,1.4,1.428,0.164,0.766
bundesliga2,580,0.9219,0.9272,1.403,1.293,0.162,0.777
championship,2740,0.9776,0.9757,1.213,1.186,0.079,0.741
epl,2988,0.9479,0.9544,1.378,1.307,0.124,0.825
eredivisie,1763,0.9896,0.994,1.435,1.42,0.119,0.837
greek_sl,56,0.92,0.9381,1.029,0.946,0.071,1.0
jupiler_pro,1728,0.8824,0.8899,1.359,1.199,0.168,0.762
la_liga,2975,0.9466,0.9495,1.214,1.149,0.161,0.771
liga3,1887,0.9436,0.9484,1.43,1.349,0.132,0.772
ligue_1,2560,0.9284,0.935,1.321,1.226,0.184,0.785
primeira_liga,1739,0.9895,0.9888,1.177,1.164,0.192,0.775
scottish_prem,420,0.9252,0.9328,1.305,1.207,0.145,0.803
serie_a,2988,0.9623,0.9639,1.154,1.11,0.147,0.773
serie_b,758,0.9402,0.9466,1.21,1.137,0.14,0.802
super_lig,1592,0.9707,0.9725,1.223,1.187,0.173,0.779
swiss_sl,420,0.9858,0.9787,1.435,1.414,0.226,0.726
